BTC,ETH,ADA,BNB,XMR
36200.23,1230.57,0.37418,44.6514,153.2
35688.21,1219.01,0.36744,44.3119,152.83
35779.01,1218.89,0.37097,44.7849,152.94
35967.87,1228.16,0.36848,44.751,153.94
36122.08,1226.76,0.36648,44.7385,154.65
36222.69,1234.02,0.36953,44.74,155.72
36492.13,1241.15,0.36798,44.9916,156.75
36632.24,1258.89,0.37138,45.3865,156.99
36684.82,1262.19,0.37289,45.2711,155.1
36947.15,1317.87,0.37075,45.2652,155.51
36834.98,1340.49,0.36434,44.9582,155.72
36506.49,1323.15,0.36363,44.8,153.03
36337.62,1305.75,0.36687,44.9657,153.05
36307.32,1323.43,0.36555,45.1115,154.17
36661.38,1332.33,0.36721,45.5011,154.07
37237.54,1377.83,0.37018,45.857,153.95
37232.12,1376.96,0.37891,45.5192,154.2
37079.06,1381.12,0.3746,45.5491,154.0
37134.56,1386.3,0.37383,45.8284,154.58
37303.99,1430.82,0.37836,46.0196,156.14
36804.59,1386.85,0.3723,45.5348,156.95
37113.92,1418.28,0.3733,46.9657,156.69
37021.19,1407.65,0.37285,44.7313,156.93
37360.0,1415.15,0.37307,44.2861,157.84
37381.24,1423.53,0.37804,43.9389,158.75
37180.53,1416.85,0.37846,43.761,160.59
36497.5,1368.53,0.37026,42.2857,159.1
36278.37,1359.75,0.36791,42.55,162.56
36447.22,1384.3,0.37392,42.5951,163.49
36474.14,1410.0,0.37363,42.9697,161.67
36650.17,1410.44,0.37877,42.677,160.56
35902.6,1367.07,0.36766,42.519,157.24
36330.14,1405.83,0.37314,42.6639,160.44
36113.62,1385.91,0.3675,42.2967,157.84
36094.97,1398.77,0.36989,42.5204,157.6
35069.5,1344.07,0.35533,41.3181,153.05
35272.61,1357.32,0.35837,41.805,153.93
35502.49,1369.13,0.36019,42.1053,154.54
35281.45,1349.76,0.35738,41.7787,152.53
35691.0,1370.49,0.3622,42.27,153.6
35489.82,1350.37,0.35816,41.8464,152.84
34807.84,1310.2,0.34897,41.2985,151.14
34735.51,1303.62,0.34925,41.0538,151.59
34421.07,1265.2,0.33793,40.7471,148.86
34708.62,1292.85,0.34403,41.2039,149.97
34956.75,1310.48,0.35285,41.6401,151.76
34890.94,1304.09,0.34644,41.2501,150.18
34207.31,1273.97,0.34267,41.0005,148.45
34695.88,1311.42,0.35483,42.082,151.35
34852.04,1311.74,0.35195,41.8023,151.42
35259.28,1318.32,0.35569,42.0292,151.5
35217.35,1346.38,0.36482,42.2408,152.24
34973.16,1332.73,0.36326,41.829,151.92
34902.92,1323.38,0.36425,41.8124,152.33
34972.5,1334.75,0.36989,42.069,151.67
35489.56,1377.58,0.3757,42.5787,152.81
35305.27,1363.78,0.37262,42.3632,151.72
34795.45,1337.17,0.3695,41.8345,150.21
34570.05,1329.46,0.3705,41.6962,149.58
34588.11,1326.69,0.36918,41.6429,150.11
34243.23,1286.98,0.35946,41.0657,147.73
34557.57,1305.26,0.36326,41.52,147.16
34649.71,1308.15,0.36393,41.6143,148.26
34613.1,1308.88,0.36006,41.5291,147.94
33221.66,1260.06,0.34711,40.6734,143.99
32858.12,1260.69,0.34507,40.4795,142.67
32816.99,1249.21,0.34608,40.1721,143.36
32189.92,1235.83,0.34437,39.7141,141.22
32468.56,1241.75,0.34306,40.1051,141.66
32306.44,1236.98,0.3415,40.2533,140.78
31150.06,1202.97,0.3333,39.9529,136.15
31350.0,1187.22,0.33548,39.6842,135.65
31050.0,1169.06,0.33018,39.5001,134.8
31884.97,1194.46,0.33135,39.9364,137.31
31718.63,1189.83,0.33099,40.0141,137.42
32453.57,1230.53,0.34021,40.5613,139.35
31866.05,1204.71,0.33358,40.1814,137.97
31217.94,1171.01,0.32817,39.6085,135.48
